,cpus_per_task,time_limit,count_queue,count_queue_user,mean_req_cpus,sum_req_cpus,min_req_cpus,max_req_cpus,mean_req_cpus_user,sum_req_cpus_user,min_req_cpus_user,max_req_cpus_user,mean_timelimit,sum_timelimit,min_timelimit,max_timelimit,mean_timelimit_user,sum_timelimit_user,min_timelimit_user,max_timelimit_user,mean_now_time_waiting,sum_now_time_waiting,min_now_time_waiting,max_now_time_waiting,mean_now_time_waiting_user,sum_now_time_waiting_user,min_now_time_waiting_user,max_now_time_waiting_user,count_running,count_running_user,mean_now_time_running,sum_now_time_running,min_now_time_running,max_now_time_running,mean_now_time_running_user,sum_now_time_running_user,min_now_time_running_user,max_now_time_running_user
0,1,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2.4777679443359375,4.955535888671875,2.4777679443359375,2.4777679443359375,0.0,0.0,0.0,0.0
3,1,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2.91383695602417,8.74151086807251,0.91383695602417,3.91383695602417,0.0,0.0,0.0,0.0
4,1,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2.979145050048828,8.937435150146484,0.979145050048828,3.979145050048828,0.0,0.0,0.0,0.0
5,1,1,2,0,1.0,3,1,1,1.0,1,1,1,1.0,3,1,1,1.0,1,1,1,3.1385390758514404,6.277078151702881,3.1385390758514404,3.1385390758514404,0.0,0.0,0.0,0.0,3,1,5.142709016799927,15.42812705039978,3.1427090167999268,6.142709016799928,3.1427090167999268,3.1427090167999268,3.1427090167999268,3.1427090167999268
6,1,1,1,1,1.0,4,1,1,0.0,0,0,0,1.5,6,1,2,0.0,0,0,0,7.796526908874513,7.796526908874513,7.796526908874513,7.796526908874513,7.796526908874513,7.796526908874513,7.796526908874513,7.796526908874513,4,0,10.051032066345217,40.20412826538086,4.801032066345215,13.801032066345215,0.0,0.0,0.0,0.0
7,1,1,2,2,1.0,4,1,1,0.0,0,0,0,1.5,6,1,2,0.0,0,0,0,6.85918402671814,13.71836805343628,3.3591840267181396,10.359184026718141,6.85918402671814,13.71836805343628,3.3591840267181396,10.359184026718141,4,0,12.61283802986145,50.4513521194458,7.36283802986145,16.36283802986145,0.0,0.0,0.0,0.0
8,1,1,2,2,1.0,4,1,1,0.0,0,0,0,1.5,6,1,2,0.0,0,0,0,7.584053993225098,15.168107986450195,4.0840539932250985,11.084053993225098,7.584053993225098,15.168107986450195,4.0840539932250985,11.084053993225098,4,0,13.337882041931152,53.35152816772461,8.087882041931152,17.087882041931152,0.0,0.0,0.0,0.0
9,1,1,2,2,1.0,4,1,1,0.0,0,0,0,1.5,6,1,2,0.0,0,0,0,8.157716989517214,16.315433979034427,4.657716989517212,11.657716989517212,8.157716989517214,16.315433979034427,4.657716989517212,11.657716989517212,4,0,13.911508083343506,55.64603233337402,8.661508083343506,17.661508083343502,0.0,0.0,0.0,0.0
