job_id,slurm_estimation
0,0
1,0
2,0
3,0
4,0
5,59.886421
6,46.227085
7,43.666017
8,42.940196
9,102.363948
10,100.290404
11,95.492736
12,94.992228
13,154.681294
14,175.597625
15,233.975164
16,179.865923
17,263.173377
18,261.8515
19,261.148073
20,320.535532
21,316.824268
22,314.192553
23,308.396216
24,306.133114
25,239.126167
26,236.486146
27,239.36405
28,239.26775
29,296.386021
30,292.139382
31,351.427133
32,347.515909
33,346.59189
34,406.306434
35,223.247974
36,239.891218
37,239.629038
38,417.570216
39,296.231736
40,295.719171
41,293.563004
42,299.107648
43,299.548531
44,495.606715
45,368.491671
46,299.485932
47,365.137513
48,299.580266
49,479.271865
50,539.861728
51,539.573683
52,600.640438
53,659.445906
54,357.09767
55,299.692432
56,358.775646
57,417.442816
58,717.382259
59,777.225896
60,359.154282
61,417.908558
62,416.674723
63,416.365937
64,474.737701
65,419.102919
66,458.670617
67,517.028978
68,936.320525
69,873.955959
70,873.652027
71,839.873774
72,447.084481
73,506.778255
74,986.467172
75,923.941587
76,503.234924
77,419.509305
78,497.5654
79,419.342086
80,899.727738
81,359.356186
82,418.753935
83,417.632059
84,416.107869
85,959.821058
86,419.122877
87,418.114188
88,956.996181
89,416.811665
90,1079.818974
91,417.36165
92,359.184689
93,359.446944
94,899.499607
95,1139.013345
96,1137.287508
97,899.937916
98,1199.70465
99,299.226048
100,899.694981
101,958.976584
102,299.835757
103,357.497804
104,357.093433
105,1016.000744
106,299.001066
107,358.748842
108,1019.234935
109,1017.819869
110,959.415691
111,959.125998
112,299.839269
113,1077.469592
114,1079.265774
115,1019.751668
116,239.682028
117,236.850506
118,1075.836995
119,179.284938
120,239.879213
121,238.839354
122,298.318239
123,1437.797044
124,295.130934
125,239.69163
126,1079.240247
127,1137.217948
128,1496.327616
129,179.093485
130,235.055413
131,234.237981
132,179.282047
133,239.268618
134,179.869401
135,1139.546095
136,179.34528
137,1498.746685
138,237.107931
139,179.774212
140,239.315851
141,239.818021
142,297.758434
143,1139.27018
144,1199.273759
145,238.863564
146,296.719338
147,239.785381
148,239.490507
149,1619.654455
150,237.383559
151,239.765468
152,238.541547
153,1139.207082
154,118.099579
155,1197.794307
156,118.994335
157,59.321006
158,119.038094
159,1555.258255
160,1494.947785
161,1614.34874
162,1439.141382
163,1612.611523
164,1611.901864
165,1011.185637
166,959.640647
167,1676.771899
168,1734.427283
169,1717.977826
170,1046.926972
171,1584.777352
172,1583.322727
173,1820.329169
174,1810.947801
175,1739.905055
176,959.844887
177,1808.027113
178,965.1018
179,962.152688
180,1859.903658
181,1856.837284
182,1613.920401
183,1855.253786
184,1913.606857
185,1013.320574
186,1912.596266
187,1966.674456
188,1965.242699
189,1004.214184
190,2023.393754
191,2022.781902
192,2021.855925
193,2021.548691
194,2078.384947
195,2076.129213
196,1655.83292
197,1654.606213
198,2133.686841
199,981.354821
200,2121.180966
201,2159.036939
202,1679.977849
203,2159.483072
204,2219.170827
205,1679.857563
206,2219.678604
207,2219.831311
208,2275.950818
209,2332.789063
210,2329.151798
211,1007.402966
212,2378.316546
213,2376.774039
214,32212257095.254623
215,1052.789182
216,32212257090.73227
217,32212257086.18207
218,1045.059863
219,32212257059.452244
220,1799.310261
221,32212257176.15021
222,32212257231.835457
223,1070.207312
224,32212257228.360348
225,1847.84088
226,32212257282.003773
227,959.574698
228,1799.746746
229,1057.984624
230,32212257336.417244
231,32212257272.955933
232,32212257329.26582
233,1048.545792
234,1886.782888
235,1885.94974
236,1043.356561
237,1939.519325
238,1098.595888
239,32212257498.3061
240,1090.805937
241,32212257487.839306
242,32212257545.805443
243,1084.16311
244,1143.552668
245,32212257603.370796
246,32212257602.45075
247,32212257600.89951
248,32212257659.292545
249,32212257653.322098
250,32212257642.578423
251,32212257641.545067
252,1119.904352
253,2017.005319
254,32212257693.112797
255,1108.875379
256,1107.323545
257,32212257746.4045
258,32212257743.63106
259,32212257743.333202
260,1151.079907
261,32212257719.267418
262,32212257719.827522
263,32212257787.29538
264,32212257786.466988
265,1139.2665
266,1135.443745
267,32212257834.428593
268,32212257832.482502
269,32212256747.898647
270,32212256815.36884
271,32212256815.102398
272,32212257894.07322
273,1013.031267
274,32212257951.905327
275,32212257949.52954
