cpus_per_task,time_limit,job_name,user_id,count_queue,count_queue_user,mean_req_cpus,sum_req_cpus,min_req_cpus,max_req_cpus,mean_req_cpus_user,sum_req_cpus_user,min_req_cpus_user,max_req_cpus_user,mean_timelimit,sum_timelimit,min_timelimit,max_timelimit,mean_timelimit_user,sum_timelimit_user,min_timelimit_user,max_timelimit_user,mean_now_time_waiting,sum_now_time_waiting,min_now_time_waiting,max_now_time_waiting,mean_now_time_waiting_user,sum_now_time_waiting_user,min_now_time_waiting_user,max_now_time_waiting_user,count_running,count_running_user,mean_now_time_running,sum_now_time_running,min_now_time_running,max_now_time_running,mean_now_time_running_user,sum_now_time_running_user,min_now_time_running_user,max_now_time_running_user
1,1,job_0_test_only,10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,job_0,10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,job_1_test_only,10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,job_1,10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,job_2_test_only,10001,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.438499927520752,4.876999855041504,2.438499927520752,2.438499927520752,0,0.0,0,0
1,1,job_2,10001,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.4777679443359375,4.955535888671875,2.4777679443359375,2.4777679443359375,0,0.0,0,0
1,2,job_3_test_only,10002,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.8776590824127197,7.7553181648254395,3.8776590824127197,3.8776590824127197,0,0.0,0,0
1,2,job_3,10002,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.91383695602417,8.74151086807251,0.9138369560241699,3.91383695602417,0,0.0,0,0
1,2,job_4__test_only,10003,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.948889970779419,8.846669912338257,0.948889970779419,3.948889970779419,0,0.0,0,0
1,2,job_4,10003,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2.979145050048828,8.937435150146484,0.9791450500488281,3.979145050048828,0,0.0,0,0
